jj,amount,label
3.4,126.988,BestIndividual
3.374,126.969,BestIndividual
3.364,126.912,BestIndividual
3.306,126.807,BestIndividual
3.3,127.149,BestIndividual
3.283,126.594,BestIndividual
3.25,126.499,BestIndividual
3.245,126.504,BestIndividual
3.235,126.479,BestIndividual
3.206,126.416,BestIndividual
3.206,126.417,BestIndividual
3,120.543,BestIndividual
2.855,120.234,BestIndividual
2.668,138.75,BestIndividual
2.572,141.728,BestIndividual
2.251,140.54,BestIndividual
2.057,144.779,BestIndividual
1.841,131.063,BestIndividual
1.794,131.852,BestIndividual
1.744,131.412,BestIndividual
1.672,148.928,BestIndividual
1.645,139.606,BestIndividual
1.637,139.165,BestIndividual
1.636,139.118,BestIndividual
1.625,139.169,BestIndividual
1.618,139.198,BestIndividual
1.583,146.462,BestIndividual
1.58,146.531,BestIndividual
1.566,147.172,BestIndividual
1.534,139.31,BestIndividual
1.533,139.297,BestIndividual
1.489,133.533,BestIndividual
1.482,133.58,BestIndividual
1.471,133.237,BestIndividual
1.465,133.528,BestIndividual
1.461,133.611,BestIndividual
1.457,133.215,BestIndividual
1.425,134.352,BestIndividual
1.411,132.943,BestIndividual
1.404,131.995,BestIndividual
1.403,131.999,BestIndividual
1.394,132.397,BestIndividual
1.391,132.404,BestIndividual
1.411,130.663,BestIndividual
1.303,130.893,BestIndividual
1.325,128.484,BestIndividual
1.318,128.85,BestIndividual
0.993,9736.44,BestInitial
4.282,5082.441,BestIndividual
4.008,2825.444,BestIndividual
5.163,466.218,BestIndividual
7.48,428.852,BestIndividual
7.479,428.721,BestIndividual
7.502,412.099,BestIndividual
7.188,400.273,BestIndividual
4.748,395.407,BestIndividual
5.297,389.052,BestIndividual
8.001,359.584,BestIndividual
12.215,247.716,BestIndividual
17.156,163.296,BestIndividual
19.932,148.824,BestIndividual
19.913,149.099,BestIndividual
19.847,149.095,BestIndividual
19.755,149.997,BestIndividual
14.479,132.679,BestIndividual
13.064,142.416,BestIndividual
10.453,148.658,BestIndividual
8.487,141.52,BestIndividual
7.677,138.661,BestIndividual
7.62,138.625,BestIndividual
7.574,138.593,BestIndividual
7.505,136.553,BestIndividual
7.457,146.338,BestIndividual
7.246,130.201,BestIndividual
6.926,126.194,BestIndividual
5.799,119.759,BestIndividual
5.796,119.738,BestIndividual
5.795,119.737,BestIndividual
5.753,119.675,BestIndividual
5.595,119.277,BestIndividual
5.255,126.655,BestIndividual
5.109,142.505,BestIndividual
4.939,142.514,BestIndividual
4.66,142.396,BestIndividual
4.606,142.405,BestIndividual
4.542,142.404,BestIndividual
4.542,142.403,BestIndividual
4.391,142.403,BestIndividual
4.388,142.408,BestIndividual
4.348,142.429,BestIndividual
4.33,142.361,BestIndividual
4.32,142.363,BestIndividual
4.319,142.363,BestIndividual
4.315,142.361,BestIndividual
4.228,139.341,BestIndividual
4.055,139.939,BestIndividual
3.44,139.489,BestIndividual
3.35,136.743,BestIndividual
2.874,143.731,BestIndividual
2.684,149.138,BestIndividual
2.493,146.407,BestIndividual
2.451,145.048,BestIndividual
2.381,148.729,BestIndividual
2.32,146.049,BestIndividual
2.095,149.34,BestIndividual
1.667,148.114,BestIndividual
1.629,145.361,BestIndividual
1.578,143.762,BestIndividual
1.569,142.49,BestIndividual
1.557,143.426,BestIndividual
1.553,143.349,BestIndividual
1.436,139.201,BestIndividual
1.436,139.177,BestIndividual
1.434,139.13,BestIndividual
1.363,138.48,BestIndividual
1.357,138.478,BestIndividual
1.355,138.254,BestIndividual
1.264,137.695,BestIndividual
1.246,137.667,BestIndividual
1.25,137.284,BestIndividual
1.268,135.718,BestIndividual
1.244,136.667,BestIndividual
1.241,136.36,BestIndividual
1.221,136.844,BestIndividual
1.296,129.162,BestIndividual
1.294,129.071,BestIndividual
1.385,121.841,BestIndividual
1.373,121.838,BestIndividual
1.38,121.299,BestIndividual
1.38,121.285,BestIndividual
1.365,121.285,BestIndividual
1.346,121.42,BestIndividual
1.346,121.422,BestIndividual
1.338,121.413,BestIndividual
1.327,119.565,BestIndividual
1.309,120.032,BestIndividual
1.305,120.038,BestIndividual
1.302,120.043,BestIndividual
1.294,119.999,BestIndividual
1.294,120,BestIndividual
1.268,119.904,BestIndividual
1.268,119.877,BestIndividual
1.268,119.85,BestIndividual
1.273,119.291,BestIndividual
1.268,119.292,BestIndividual
0.771,2802.803,BestInitial
1.813,1647.006,BestIndividual
