jj,amount,label
1.42,132.95,BestIndividual
1.41,132,BestIndividual
1.4,132.4,BestIndividual
1.4,132.41,BestIndividual
1.42,130.67,BestIndividual
1.31,130.9,BestIndividual
1.33,128.49,BestIndividual
1.32,128.85,BestIndividual
1.32,128.85,BestLast
1,9736.44,BestInitial
4.29,5082.45,BestIndividual
4.01,2825.45,BestIndividual
5.17,466.22,BestIndividual
7.48,428.86,BestIndividual
7.48,428.73,BestIndividual
7.51,412.1,BestIndividual
7.19,400.28,BestIndividual
4.75,395.41,BestIndividual
5.3,389.06,BestIndividual
8.01,359.59,BestIndividual
12.22,247.72,BestIndividual
17.16,163.3,BestIndividual
19.94,148.83,BestIndividual
19.92,149.1,BestIndividual
19.85,149.1,BestIndividual
19.76,150,BestIndividual
14.48,132.68,BestIndividual
8.49,141.52,BestIndividual
7.68,138.67,BestIndividual
7.62,138.63,BestIndividual
7.58,138.6,BestIndividual
7.51,136.56,BestIndividual
7.46,146.34,BestIndividual
7.25,130.21,BestIndividual
6.93,126.2,BestIndividual
5.8,119.76,BestIndividual
5.8,119.74,BestIndividual
5.76,119.68,BestIndividual
5.6,119.28,BestIndividual
5.26,126.66,BestIndividual
5.11,142.51,BestIndividual
4.94,142.52,BestIndividual
4.66,142.4,BestIndividual
4.61,142.41,BestIndividual
4.55,142.41,BestIndividual
4.4,142.41,BestIndividual
4.33,142.37,BestIndividual
4.32,142.37,BestIndividual
4.23,139.35,BestIndividual
4.06,139.94,BestIndividual
3.44,139.49,BestIndividual
3.35,136.75,BestIndividual
2.69,149.14,BestIndividual
2.5,146.41,BestIndividual
2.46,145.05,BestIndividual
2.39,148.73,BestIndividual
2.32,146.05,BestIndividual
2.1,149.34,BestIndividual
1.67,148.12,BestIndividual
1.63,145.37,BestIndividual
1.58,143.77,BestIndividual
1.56,143.43,BestIndividual
1.56,143.35,BestIndividual
1.44,139.21,BestIndividual
1.44,139.18,BestIndividual
1.44,139.13,BestIndividual
1.37,138.48,BestIndividual
1.36,138.48,BestIndividual
1.36,138.26,BestIndividual
1.27,137.7,BestIndividual
1.25,137.67,BestIndividual
1.25,137.29,BestIndividual
1.27,135.72,BestIndividual
1.25,136.67,BestIndividual
1.25,136.36,BestIndividual
1.3,129.17,BestIndividual
1.39,121.85,BestIndividual
1.38,121.84,BestIndividual
1.38,121.3,BestIndividual
1.38,121.29,BestIndividual
1.35,121.42,BestIndividual
1.35,121.43,BestIndividual
1.33,119.57,BestIndividual
1.31,120.04,BestIndividual
1.31,120.05,BestIndividual
1.3,120,BestIndividual
1.27,119.91,BestIndividual
1.27,119.88,BestIndividual
1.27,119.85,BestIndividual
1.28,119.3,BestIndividual
1.27,119.3,BestLast
0.78,2802.81,BestInitial
1.82,1647.01,BestIndividual
1.74,1593.32,BestIndividual
1.09,1470.27,BestIndividual
3.91,1432.54,BestIndividual
4.5,1404.31,BestIndividual
1.18,956.95,BestIndividual
25.77,379.87,BestIndividual
27.62,266.38,BestIndividual
28.16,266.38,BestIndividual
28.27,266.22,BestIndividual
27.62,108.5,BestIndividual
26.32,108.86,BestIndividual
8.75,119.65,BestIndividual
8.74,119.63,BestIndividual
8.58,118.6,BestIndividual
8.5,113.6,BestIndividual
8.1,113.71,BestIndividual
7.49,117.16,BestIndividual
7.26,117.06,BestIndividual
6.6,111.08,BestIndividual
5.26,107.3,BestIndividual
4.57,105.88,BestIndividual
4.46,113.65,BestIndividual
4.01,113.59,BestIndividual
3.87,112.89,BestIndividual
3.83,112.92,BestIndividual
3.78,112.92,BestIndividual
3.77,112.95,BestIndividual
3.66,112.44,BestIndividual
3.63,111.67,BestIndividual
3.45,111.37,BestIndividual
2.45,119.74,BestIndividual
2.41,118.19,BestIndividual
2.4,118.18,BestIndividual
2.37,118.15,BestIndividual
2.36,105.6,BestIndividual
2.27,104.72,BestIndividual
2.12,103.43,BestIndividual
2.07,103.39,BestIndividual
2.06,103.37,BestIndividual
2.03,103.28,BestIndividual
2.03,103.19,BestIndividual
1.98,105.5,BestIndividual
1.72,114.82,BestIndividual
1.71,119.35,BestIndividual
1.69,117.46,BestIndividual
1.68,117.62,BestIndividual
1.66,116.69,BestIndividual
1.66,116.85,BestIndividual
1.66,116.64,BestIndividual
1.62,101.82,BestIndividual
1.61,100.85,BestIndividual
1.61,101.01,BestIndividual
1.6,102.84,BestIndividual
1.59,101.02,BestIndividual
1.52,101.15,BestIndividual
1.5,101.74,BestIndividual
1.5,101.81,BestIndividual
1.5,102.48,BestIndividual
1.49,102.83,BestIndividual
1.49,103.63,BestIndividual
1.49,103.62,BestIndividual
1.48,102.9,BestIndividual
1.48,103.2,BestIndividual
1.47,105.62,BestIndividual
1.47,105.57,BestIndividual
1.47,105.56,BestIndividual
1.46,105.53,BestIndividual
1.46,106.26,BestIndividual
1.46,106.05,BestIndividual
1.43,109.25,BestIndividual
1.43,109.33,BestIndividual
1.43,109.32,BestIndividual
1.37,109.97,BestIndividual
1.37,109.97,BestLast
201.76,9383.87,AvgValues
141.31,3231.54,AvgValues
162.04,2572.68,AvgValues
137.87,1597.41,AvgValues
132.56,1074.61,AvgValues
136.79,789.85,AvgValues
128.47,513.96,AvgValues
222.51,464.64,AvgValues
118.42,454.39,AvgValues
116.88,365.68,AvgValues
80.68,349.83,AvgValues
152.96,340,AvgValues
91.22,291.48,AvgValues
92.92,286.36,AvgValues
54.18,242.11,AvgValues
54.14,211.52,AvgValues
40.88,174.65,AvgValues
41.43,159.87,AvgValues
28.81,157.39,AvgValues
38.77,152.58,AvgValues
28.12,149.34,AvgValues
23.39,149.69,AvgValues
22.01,138.52,AvgValues
19.95,145.77,AvgValues
17.46,148.46,AvgValues
17.12,146.35,AvgValues
16.5,143.73,AvgValues
16.41,134.58,AvgValues
14.71,137.97,AvgValues
13.76,136.74,AvgValues
13.64,136.38,AvgValues
12.89,137.5,AvgValues
12.83,139.07,AvgValues
10.19,138.81,AvgValues
10.12,138.82,AvgValues
9.77,138.16,AvgValues
9.66,137.33,AvgValues
9.51,140.39,AvgValues
8.96,139.76,AvgValues
8.25,134.46,AvgValues
8.22,134.12,AvgValues
8.22,134.37,AvgValues
7.28,137.5,AvgValues
7.22,137.56,AvgValues
6.99,135.81,AvgValues
6.77,136.29,AvgValues
6.38,137.2,AvgValues
6.24,137.48,AvgValues
6.19,138.11,AvgValues
6.11,138.9,AvgValues
6.05,139.01,AvgValues
6.03,138.7,AvgValues
5.04,136.33,AvgValues
4.91,136.91,AvgValues
4.8,139.78,AvgValues
4.79,138.53,AvgValues
4.74,138.43,AvgValues
4.73,138.49,AvgValues
4.72,138.42,AvgValues
4.62,139.06,AvgValues
4.56,139.1,AvgValues
4.52,138.96,AvgValues
4.43,137.9,AvgValues
4.37,138.48,AvgValues
4.36,138.29,AvgValues
4.28,139.47,AvgValues
4.28,138.91,AvgValues
4.22,138.77,AvgValues
4.17,140.04,AvgValues
4.16,140.14,AvgValues
4.15,140.01,AvgValues
4.15,139.97,AvgValues
4.14,140.24,AvgValues
